type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
W,2019-05-07 18:12:59,-23.21919007,-45.87112566,11,610.000,,0.000,,16,22,,
W,2019-05-07 18:16:31,-23.21983647,-45.87178064,10,614.000,,0.000,,18,22,,
W,2019-05-07 18:16:57,-23.21988081,-45.87177577,10,614.000,,0.000,,18,22,,Top decolagem
W,2019-05-07 18:18:46,-23.22720289,-45.86387288,6,626.000,,67.120,135,11,21,,
W,2019-05-07 18:24:32,-23.08464955,-45.73329059,11,1033.000,,88.690,31,17,24,,Subida
W,2019-05-07 18:32:51,-22.74394548,-45.42125857,4,4822.000,,112.660,101,16,23,,Fim subida
W,2019-05-07 18:37:38,-22.81125197,-45.45132675,11,3189.000,,97.440,345,16,22,,
W,2019-05-07 18:38:55,-22.75422505,-45.48136724,10,3186.000,,88.050,296,13,22,,
W,2019-05-07 18:48:29,-22.74559746,-45.43109809,9,3189.000,,91.140,177,18,22,,Fazendo com 30
W,2019-05-07 18:52:54,-22.75125200,-45.38781109,21,3192.000,,103.380,92,16,21,,Fim curva
W,2019-05-07 19:08:28,-22.77137216,-45.33673152,3,3269.000,,75.090,240,11,18,,270km
W,2019-05-07 19:11:29,-22.83503409,-45.44116055,14,3217.000,,90.340,157,13,22,,Começando 150knots
W,2019-05-07 19:28:04,-22.89269353,-45.50376327,14,3240.000,,132.360,75,8,21,,470km/h
W,2019-05-07 19:37:47,-22.84571217,-45.39044534,10,3304.000,,120.150,245,13,21,,Subindo p stall
W,2019-05-07 19:40:41,-22.88919361,-45.51909063,21,3301.000,,75.090,223,15,22,,
W,2019-05-07 19:43:38,-22.89488027,-45.44535682,9,3579.000,,75.790,60,12,21,,Início stall
W,2019-05-07 19:44:20,-22.88499635,-45.41779512,18,3336.000,,67.290,70,14,21,,Add
W,2019-05-07 19:58:39,-23.22391473,-45.86740442,3,624.000,,47.990,135,12,19,,
T,2019-05-07 18:09:04,-23.22312045,-45.86493662,3,628.000,,1.150,314,18,22,20190507-150904,GPS Logger: 20190507-150904
T,2019-05-07 18:09:05,-23.22310713,-45.86494502,3,625.000,,1.460,307,19,22,,
T,2019-05-07 18:09:06,-23.22309610,-45.86495466,4,626.000,,1.440,303,19,22,,
T,2019-05-07 18:09:07,-23.22308965,-45.86496552,4,627.000,,1.460,294,19,22,,
T,2019-05-07 18:09:08,-23.22308911,-45.86498049,4,626.000,,1.600,279,19,22,,
T,2019-05-07 18:09:09,-23.22309549,-45.86499732,4,625.000,,1.830,241,19,22,,
T,2019-05-07 18:09:10,-23.22310568,-45.86501280,4,624.000,,2.090,247,18,22,,
T,2019-05-07 18:09:11,-23.22311803,-45.86502697,4,626.000,,2.100,239,18,22,,
T,2019-05-07 18:09:12,-23.22313237,-45.86503919,4,625.000,,1.750,235,18,22,,
T,2019-05-07 18:09:13,-23.22314435,-45.86505156,4,625.000,,1.810,233,18,22,,
T,2019-05-07 18:09:14,-23.22315681,-45.86506458,4,625.000,,1.870,231,18,22,,
T,2019-05-07 18:09:15,-23.22316713,-45.86507553,4,625.000,,1.470,232,18,21,,
T,2019-05-07 18:09:16,-23.22318148,-45.86508327,5,625.000,,1.620,225,17,21,,
T,2019-05-07 18:09:17,-23.22319715,-45.86509137,5,624.000,,1.670,220,17,21,,
T,2019-05-07 18:09:18,-23.22321516,-45.86509893,5,625.000,,1.830,217,17,21,,
T,2019-05-07 18:09:19,-23.22322977,-45.86510985,4,622.000,,1.840,223,17,21,,
T,2019-05-07 18:09:20,-23.22324160,-45.86512463,4,624.000,,1.930,229,17,21,,
